type,username,value
uid,Zywiec,krava 6741
uid,Rixz,-1
uid,xx1,noob
uid,0068,2
uid,7x3d,sexy boy
uid,pqhm,3
uid,Nygrenss,4
uid,realicy33,5
uid,FusionFata,6
uid,Ferox,Sigma Master
uid,FnqyScouts,NiggaBoy
uid,DemonHunter,7
